English,Thai
a an,หนึ่ง
abandon ,ละทิ้ง
abandoned ,ถูกปล่อยปละละเลย
ability ,ความสามารถ
able ,สามารถ
unable ,ไม่สามารถ
about  ,เกี่ยวกับ
above  ,ข้างบน
abroad ,ในต่างประเทศ
absence ,ขาด
absent ,ขาด
absolute ,แน่นอน
absolutely ,อย่างแน่นอน
absorb ,ซึมซับ
abuse  ,การละเมิด
academic ,วิชาการ
accent ,สำเนียง
accept ,ยอมรับ
acceptable ,ยอมรับได้
unacceptable ,รับไม่ได้
access ,เข้าไป
accident ,อุบัติเหตุ
by accident,โดยบังเอิญ
accidental ,โดยบังเอิญ
accidentally ,โดยไม่ตั้งใจ
accommodation ,ที่พัก
accompany ,มากับ
according to ,ตาม
account  ,บัญชีผู้ใช้
accurate ,ถูกต้อง
accurately ,แม่นยำ
accuse ,กล่าวโทษ
achieve ,บรรลุ
achievement ,ความสำเร็จ
acid ,กรด
acknowledge ,รับทราบ
acquire ,ซื้อ
across  ,ข้าม
act  ,ทำหน้าที่
action ,หนังบู๊
take action,เริ่มปฏิบัติ
active ,คล่องแคล่ว
actively ,อย่างกระตือรือร้น
activity ,กิจกรรม
actor actress ,นักแสดงชายนักแสดงหญิง
actual ,ที่จริง
actually ,แท้จริง
ad advertisement,โฆษณาโฆษณา
adapt ,ปรับ
add ,เพิ่ม
addition ,ส่วนที่เพิ่มเข้าไป
in addition ,นอกเหนือ
additional ,เพิ่มเติม
address  ,ที่อยู่
adequate ,เพียงพอ
adequately ,อย่างเพียงพอ
adjust ,ปรับ
admiration ,สิ่งที่น่าชมเชย
admire ,ชื่นชม
admit ,ยอมรับ
adopt ,นำมาใช้
adult  ,ผู้ใหญ่
advance  ,ล่วงหน้า
advanced ,สูง
in advance,ล่วงหน้า
advantage ,ความได้เปรียบ
take advantage of,ใช้ประโยชน์จาก
adventure ,การผจญภัย
advertise ,โฆษณา
advertising ,การโฆษณา
advertisement ,การโฆษณา
advice ,คำแนะนำ
advise ,ให้คำแนะนำ
affair ,เรื่อง
affect ,มีผลต่อ
affection ,ความรัก
afford ,จ่าย
afraid ,เกรงกลัว
after   ,หลังจาก
afternoon ,ตอนบ่าย
afterwards,ภายหลัง
again ,อีกครั้ง
against ,ต่อต้าน
aged ,มีอายุ
agency ,หน่วยงาน
agent ,ตัวแทน
aggressive ,ก้าวร้าว
ago ,มาแล้ว
agree ,ตกลง
agreement ,ข้อตกลง
ahead ,ล่วงหน้า
aid  ,ช่วยเหลือ
aim  ,จุดมุ่งหมาย
air ,อากาศ
aircraft ,อากาศยาน
airport ,สนามบิน
alarm  ,สัญญาณเตือนภัย
alarming ,น่ากลัว
alarmed ,ตกใจ
alcohol ,แอลกอฮอล์
alcoholic  ,มีส่วนผสมของแอลกอฮอล์
alive ,มีชีวิตอยู่
all ,ทั้งหมด
allow ,อนุญาต
all right ,ถูกต้อง
ally  ,พันธมิตร
allied ,เป็นพันธมิตรกัน
almost ,เกือบจะ
alone  ,คนเดียว
along  ,ตาม
alongside  ,คู่ขนาน
aloud ,ดัง
alphabet ,ตัวอักษร
alphabetical ,เรียงตามตัวอักษร
alphabetically ,ตามลำดับตัวอักษร
already ,แล้ว
also ,ด้วย
alter ,แก้ไข
alternative  ,ทางเลือก
alternatively ,อีกทางเลือกหนึ่ง
although ,แม้ว่า
altogether ,โดยสิ้นเชิง
always ,เสมอ
a.m. ,ก่อนเที่ยง
amaze ,ตะลึงพรึงเพริด
amazing ,น่าอัศจรรย์
amazed ,ประหลาดใจ
ambition ,ความทะเยอทะยาน
ambulance ,รถพยาบาล
among ,ในหมู่
amount  ,จำนวน
amuse ,เป็นที่ชอบใจ
amusing ,น่าขบขัน
amused ,ขบขัน
an a an,หนึ่ง
analyse ,วิเคราะห์
analysis ,การวิเคราะห์
ancient ,โบราณ
and ,และ
angle ,มุม
angry ,โกรธ
angrily ,อย่างโกรธ
animal ,สัตว์
ankle ,ข้อเท้า
anniversary ,วันครบรอบ
announce ,ประกาศ
annoy ,รบกวน
annoying ,น่ารำคาญ
annoyed ,รำคาญ
annual ,ประจำปี
annually ,เป็นประจำทุกปี
another ,อื่น
answer  ,ตอบ
anti- ,ปฏิ -
anticipate ,คาดหวัง
anxiety ,ความกังวล
anxious ,กระวนกระวาย
anxiously ,อย่างใจจดใจจ่อ
any ,ใด
anyone ,ใคร ๆ
anything ,สิ่งใด
anyway ,อย่างไรก็ตาม
anywhere ,ทุกแห่ง
apart ,ต่างหาก
apart from,นอกเหนือจาก
apartment ,อพาร์ทเม้น
apologize,ขอโทษ
apparent ,เห็นได้ชัด
apparently ,เด่นชัด
appeal  ,อุทธรณ์
appear ,ปรากฏ
appearance ,การปรากฏ
apple ,แอปเปิ้ล
application ,ใบสมัคร
apply ,ใช้
appoint ,แต่งตั้ง
appointment ,การแต่งตั้ง
appreciate ,ซาบซึ้ง
approach  ,เข้าใกล้
appropriate ,จัดสรร
approval ,การอนุมัติ
approve ,อนุมัติ
approving ,ที่อนุมัติ
approximate ,ประมาณ
approximately ,ประมาณ
area ,พื้นที่
argue ,เถียง
argument ,ข้อโต้แย้ง
arise ,เกิดขึ้น
arm  ,แขน
arms ,อาวุธ
armed ,อาวุธ
army ,กองทัพบก
around  ,รอบ
arrange ,เตรียมการ
arrangement ,การจัดการ
arrest  ,จับกุม
arrival ,การมาถึง
arrive ,มาถึง
arrow ,ลูกศร
art ,ศิลปะ
article ,บทความ
artificial ,เทียม
artificially ,ทำเทียม
artistic ,ศิลปะ
as   ,เช่น
ashamed ,ละอายใจ
aside ,กัน
aside from apart from,นอกเหนือจากการที่นอกเหนือจาก
ask ,ถาม
asleep ,นอนหลับ
fall asleep,หลับ
aspect ,แง่มุม
assist ,ช่วยเหลือ
assistance ,ความช่วยเหลือ
assistant  ,ผู้ช่วย
associate ,ที่เกี่ยวข้อง
associated with,ที่เกี่ยวข้องกับ
association ,สมาคม
assume ,สมมติ
assure ,รับประกัน
at ,ที่
atmosphere ,บรรยากาศ
atom ,อะตอม
attach ,แนบ
attached ,แนบมาด้วย
attack  ,โจมตี
attempt  ,พยายาม
attempted ,พยายาม
attend ,เข้าร่วม
attention ,ความสนใจ
pay attention,ใส่ใจ
attitude ,ท่าที
attorney,อัยการ
attract ,ดึงดูดใจ
attraction ,เสน่ห์
attractive ,มีเสน่ห์
audience ,ผู้ชม
August ,สิงหาคม
aunt ,ป้า
author ,ผู้เขียน
authority ,อำนาจ
automatic ,อัตโนมัติ
automatically ,อัตโนมัติ
autumn,ฤดูใบไม้ร่วง
available ,ใช้ได้
average  ,เฉลี่ย
avoid ,หลีกเลี่ยงการ
awake ,ตื่นตัว
award  ,รางวัล
aware ,ทราบ
away ,ไป
awful ,น่ากลัว
awfully ,ชะมัด
awkward ,อึดอัด
awkwardly ,อย่างเชื่องช้า
baby ,ทารก
back    ,กลับ
background ,พื้นหลัง
backwards,ย้อนกลับ
backward ,ย้อนกลับ
bacteria ,แบคทีเรีย
bad ,ไม่ดี
go bad,การเดินทางที่ไม่ดี
badly ,ไม่ดี
bad-tempered ,ใจร้อน
bag ,ถุง
baggage ,กระเป๋าเดินทาง
bake ,อบ
balance  ,สมดุล
ban  ,ห้าม
band ,วงดนตรี
bandage  ,ผ้าพันแผล
bank ,ธนาคาร
bar ,บาร์
bargain ,ต่อรอง
barrier ,อุปสรรค
base  ,ฐาน
based on,ขึ้นอยู่กับ
basic ,ขั้นพื้นฐาน
basically ,เป็นพื้น
basis ,รากฐาน
bath ,การอาบน้ำ
bathroom ,ห้องอาบน้ำ
battery ,แบตเตอรี่
battle ,การต่อสู้
bay ,อ่าว
be  auxiliary ,จะช่วย
beach ,ชายหาด
beak ,จะงอยปาก
bear ,หมี
beard ,เครา
beat  ,ตี
beautiful ,สวย
beautifully ,ตระการ
beauty ,ความงาม
because ,เพราะ
because of ,เพราะว่า
become ,กลายเป็น
bed ,เตียง
bedroom ,ห้องนอน
beef ,เนื้อวัว
beer ,เบียร์
before   ,ก่อน
begin ,เริ่ม
beginning ,จุดเริ่มต้น
behalf,ตัวแทน
behave ,ประพฤติ
behaviour,พฤติกรรม
behind  ,หลัง
belief ,ความเชื่อ
bell ,ระฆัง
belong ,เป็นของ
below  ,ด้านล่าง
belt ,เข็มขัด
bend  ,โค้ง
bent ,ก้ม
beneath  ,ใต้
benefit  ,ประโยชน์
beside ,ข้าง
bet  ,เดิมพัน
betting ,การพนัน
better ,ดีกว่า
between  ,ระหว่าง
beyond  ,เกิน
bicycle ,รถจักรยาน
bid  ,สั่ง
big ,ใหญ่
bill ,บิล
biology ,ชีววิทยา
bird ,นก
birth ,กำเนิด
give birth ,ให้กำเนิด
birthday ,วันเกิด
biscuit ,สีน้ำตาลอ่อน
bit ,นิดหน่อย
a bit,นิดหน่อย
bite  ,กัด
bitter ,ขม
bitterly ,สาหัส
black  ,สีดำ
blade ,ใบมีด
blame  ,ตำหนิ
blank  ,ว่างเปล่า
blankly ,blankly
blind ,ตาบอด
block  ,บล็อก
blonde   blond ,สีบลอนด์สีบลอนด์
blood ,เลือด
blow  ,ระเบิด
blue  ,สีน้ำเงิน
board  ,คณะกรรมการ
on board,บนกระดาน
boat ,เรือ
body ,ร่างกาย
boil ,ต้ม
bomb  ,วางระเบิด
bone ,กระดูก
book  ,หนังสือ
boot ,รองเท้า
border ,ชายแดน
bore ,เจาะ
boring ,น่าเบื่อ
bored ,เบื่อ
born,เกิด
borrow ,ยืม
boss ,นาย
both ,ทั้งสอง
bother ,ตื๊อ
bottle ,ขวด
bottom  ,ด้านล่าง
bound : bound to,ผูกพัน: ผูกไว้กับ
bowl ,ขัน
box ,กล่อง
boy ,เด็กผู้ชาย
boyfriend ,แฟน
brain ,สมอง
branch ,สาขา
brand ,ยี่ห้อ
bread ,ขนมปัง
break  ,หยุดพัก
broken ,เสีย
breakfast ,อาหารเช้า
breast ,เต้านม
breath ,ลมหายใจ
breathe ,หายใจ
breathing ,การหายใจ
breed  ,สายพันธุ์
brick ,อิฐ
bridge ,สะพาน
brief ,สั้น
briefly ,สั้น
bright ,สดใส
brightly ,แจ๊ด
brilliant ,สุกใส
bring ,นำมาซึ่ง
broad ,กว้าง
broadly ,แต้
broadcast  ,ออกอากาศ
broken break,แบ่งหัก
brother ,พี่ชาย
brown  ,สีน้ำตาล
brush  ,แปรง
bubble ,ฟอง
budget ,งบ
build ,สร้าง
building ,อาคาร
bullet ,กระสุน
bunch ,พวง
burn ,เผา
burnt ,ที่ถูกเผาไหม้
burst ,ระเบิด
bury ,ฝังศพ
bus ,รถบัส
bush ,พุ่มไม้
business ,ธุรกิจ
businessman,นักธุรกิจ
busy ,ไม่ว่าง
but ,แต่
butter ,เนย
button ,ปุ่ม
buy ,ซื้อ
buyer ,ผู้ซื้อ
by  ,โดย
bye ,บาย
cabinet ,คณะรัฐมนตรี
cable ,สายเคเบิล
cake ,เค้ก
calculate ,คำนวณ
calculation ,การคำนวณ
call  ,โทร
be called,จะเรียกว่า
calm   ,เงียบสงบ
calmly ,ใจเย็น
camera ,กล้อง
camp  ,ค่าย
camping ,แคมป์ปิ้ง
campaign ,รณรงค์
can modal  ,สามารถเป็นกิริยาช่วย
cannot,ไม่ได้
could modal ,อาจเป็นกิริยาช่วย
cancel ,ยกเลิก
cancer ,โรคมะเร็ง
candidate ,ผู้สมัคร
candy  ,ลูกอม
cap ,ฝาครอบ
capable ,สามารถ
capacity ,ความจุ
captain ,กัปตัน
capture  ,การจับกุม
car ,รถยนต์
card ,บัตร
cardboard ,กระดาษแข็ง
care  ,การดูแล
take care ,ดูแล
care for,ดูแลเพื่อ
career ,อาชีพ
careful ,ระมัดระวัง
carefully ,รอบคอบ
careless ,ประมาท
carelessly ,ลวก
carpet ,พรม
carrot ,แครอท
carry ,การพกพา
case ,กรณี
in case,เผื่อ
cash ,เงินสด
cast  ,หล่อ
castle ,ปราสาท
cat ,แมว
catch ,จับ
category ,ประเภท
cause  ,สาเหตุ
CD ,ซีดี
cease ,หยุด
ceiling ,เพดาน
celebrate ,ฉลอง
celebration ,งานเฉลิมฉลอง
cell ,เซลล์
cellphone,โทรศัพท์มือถือ
cent  ,ร้อย
centimetre,เซนติเมตร
central ,ศูนย์กลาง
centre ,ศูนย์
century ,ศตวรรษ
ceremony ,พิธี
certain ,แน่นอน
certainly ,อย่างแน่นอน
uncertain ,ไม่แน่ใจ
certificate ,ใบรับรอง
chain  ,เชื่อมต่อ
chair ,เก้าอี้
chairman,ประธาน
challenge  ,ท้าทาย
chamber ,ห้อง
chance ,โอกาส
change  ,เปลี่ยนแปลง
channel ,ช่อง
chapter ,บท
character ,ตัวละคร
characteristic  ,ลักษณะเฉพาะ
charge  ,ค่าใช้จ่าย
in charge of,ในความรับผิดชอบของ
charity ,การกุศล
chart  ,แผนภูมิ
chase  ,การไล่ล่า
chat  ,พูดคุย
cheap ,ถูก
cheaply ,อย่างถูก
cheat  ,โกง
check  ,ตรวจสอบ
cheek ,แก้ม
cheerful ,ร่าเริง
cheerfully ,เริงร่า
cheese ,ชีส
chemical  ,สารเคมี
chemist ,นักเคมี
chemist’s  ,ของนักเคมี
chemistry ,เคมี
cheque  ,ตรวจสอบ
chest ,หน้าอก
chew ,เคี้ยว
chicken ,ไก่
chief  ,หัวหน้า
child ,เด็ก
chin ,คาง
chip ,ชิป
chocolate ,ช็อคโกแลต
choice ,ทางเลือก
choose ,เลือก
chop ,สับ
church ,โบสถ์
cigarette ,บุหรี่
cinema ,โรงภาพยนตร์
circle ,วงกลม
circumstance ,สถานการณ์
citizen ,พลเมือง
city ,เมือง
civil ,พลเรือน
claim  ,ข้อเรียกร้อง
clap  ,ตบมือ
class ,ชั้น
classic  ,คลาสสิก
classroom ,ห้องเรียน
clean  ,สะอาด
clear  ,ชัดเจน
clearly ,อย่างเห็นได้ชัด
clerk ,เสมียน
clever ,ฉลาด
click  ,คลิก
client ,ลูกค้า
climate ,ภูมิอากาศ
climb ,ปีนขึ้นไป
climbing ,ปีนเขา
clock ,นาฬิกา
close ,ปิด
closely ,อย่างใกล้ชิด
close,ปิด
closed ,ปิด
closet  ,ตู้
cloth ,ผ้า
clothes ,เสื้อผ้า
clothing ,เสื้อผ้า
cloud ,เมฆ
club ,สโมสร
coach ,โค้ช
coast ,ชายฝั่ง
coat ,เสื้อโค้ท
code ,รหัส
coffee ,กาแฟ
coin ,เหรียญ
cold  ,หนาว
coldly ,หนาว
collapse  ,ล่มสลาย
colleague ,เพื่อนร่วมงาน
collect ,เก็บ
collection ,ชุด
college ,วิทยาลัย
colour ,สี
coloured   ,มีสี
column ,คอลัมน์
combination ,การรวมกัน
combine ,รวมกัน
comedy ,ความขบขัน
comfort  ,ความสบายใจ
comfortable ,สบาย
comfortably ,สะดวกสบาย
uncomfortable ,อึดอัด
command  ,คำสั่ง
comment  ,คิดเห็น
commercial ,เชิงพาณิชย์
commission  ,คณะกรรมาธิการ
commit ,ผูกมัด
commitment ,ความมุ่งมั่น
committee ,กรรมการ
common ,ร่วมกัน
in common,ในการร่วมกัน
commonly ,อย่างธรรมดา
communicate ,สื่อสาร
communication ,การสื่อสาร
community ,ชุมชน
company ,บริษัท
compare ,เปรียบเทียบ
comparison ,การเปรียบเทียบ
compete ,แข่งขัน
competition ,การแข่งขัน
competitive ,การแข่งขัน
complain ,บ่น
complaint ,การร้องเรียน
complete  ,สมบูรณ์
completely ,อย่างสมบูรณ์
complex ,ซับซ้อน
complicate ,ซับซ้อน
complicated ,ซับซ้อน
computer ,คอมพิวเตอร์
concentrate ,สมาธิ
concentration ,สมาธิ
concept ,แนวคิด
concern  ,กังวล
concerned ,ที่เกี่ยวข้อง
concerning ,เกี่ยวกับ
concert ,คอนเสิร์ต
conclude ,เอาเป็นว่า
conclusion ,ข้อสรุป
concrete  ,คอนกรีต
condition ,เงื่อนไข
conduct  ,ความประพฤติ
conference ,การประชุม
confidence ,ความมั่นใจ
confident ,มั่นใจ
confidently ,มั่นใจ
confine ,จำกัด ขอบเขต
confined ,ถูกคุมขัง
confirm ,ยืนยัน
conflict  ,ขัดแย้ง
confront ,เผชิญหน้า
confuse ,สับสน
confusing ,ทำให้เกิดความสับสน
confused ,สับสน
confusion ,ความสับสน
congratulations ,ขอแสดงความยินดี
congress ,รัฐสภา
connection ,สัมพันธ์
conscious ,มีสติอยู่
unconscious ,ไม่ได้สติ
consequence ,ผลพวง
conservative ,อนุรักษนิยม
consider ,พิจารณา
considerable ,มาก
considerably ,อย่างมาก
consideration ,การพิจารณา
consist of ,ประกอบด้วย
constant ,คงที่
constantly ,อย่างสม่ำเสมอ
construct ,สร้าง
construction ,การก่อสร้าง
consult ,ปรึกษา
consumer ,ผู้บริโภค
contact  ,ติดต่อ
contain ,บรรจุ
container ,ภาชนะ
contemporary ,ร่วมสมัย
content ,เนื้อหา
contest ,การประกวด
context ,บริบท
continent ,ทวีป
continue ,ต่อ
continuous ,ต่อเนื่องกัน
continuously ,อย่างต่อเนื่อง
contract  ,สัญญา
contrast  ,ความคมชัด
contrasting ,ตัดกัน
contribute ,สนับสนุน
contribution ,การสนับสนุน
control  ,ควบคุม
in control (of),ในการควบคุม (ของ)
under control,อยู่ในความควบคุม
controlled ,ควบคุม
uncontrolled ,ไม่มีการควบคุม
convenient ,สะดวกสบาย
convention ,การประชุม
conventional ,ตามธรรมเนียม
conversation ,การสนทนา
convert ,แปลง
convince ,โน้มน้าวใจ
cook  ,ปรุงอาหาร
cooker  ,เตา
cookie  ,คุกกี้
cool  ,เย็น
cope ,รับมือ
copy  ,สำเนา
core ,แกน
corner ,มุม
correct  ,แก้ไข
correctly ,ได้อย่างถูกต้อง
cost  ,ราคา
cottage ,กระท่อม
cotton ,ฝ้าย
cough  ,ไอ
coughing ,ไอ
could can,สามารถ
council ,สภา
count ,นับ
counter ,เคาน์เตอร์
country ,ประเทศ
countryside ,ชนบท
county ,เขต
couple ,คู่
a couple,คู่รัก
courage ,ความกล้าหาญ
course ,หลักสูตร
of course,แน่นอน
court ,ศาล
cousin ,ลูกพี่ลูกน้อง
cover  ,ปก
covered ,ปกคลุม
covering ,ครอบคลุม
cow ,วัว
crack  ,ร้าว
cracked ,Cracked
craft ,งานฝีมือ
crash  ,ชน
crazy ,บ้า
cream  ,ครีม
create ,สร้าง
creature ,สัตว์
credit ,เครดิต
credit card ,บัตรเครดิต
crime ,อาชญากรรม
criminal  ,อาชญากร
crisis ,วิกฤติ
crisp ,กรอบ
criterion ,เกณฑ์
critical ,วิกฤติ
criticism ,คำวิจารณ์
criticize,วิจารณ์
crop ,พืชผล
cross  ,ข้าม
crowd ,ฝูงชน
crowded ,แออัด
crown ,มงกุฎ
crucial ,สำคัญมาก
cruel ,โหดร้าย
crush ,บด
cry  ,ร้องไห้
cultural ,ด้านวัฒนธรรม
culture ,วัฒนธรรม
cup ,ถ้วย
cupboard ,ตู้
curb ,ขอบ
cure  ,รักษา
curious ,อยากรู้อยากเห็น
curiously ,ซอกแซก
curl  ,ขด
curly ,หยิก
current  ,ปัจจุบัน
currently ,ปัจจุบัน
curtain ,ม่าน
curve  ,เส้นโค้ง
curved ,โค้ง
custom ,กำหนดเอง
customer ,ลูกค้า
customs ,ศุลกากร
cut  ,ตัด
cycle  ,วงจร
cycling ,การขี่จักรยาน
dad ,พ่อ
damage  ,ความเสียหาย
damp ,ชื้น
dance  ,เต้นรำ
dancing ,การเต้นรำ
dancer ,นาฏ
danger ,อันตราย
dangerous ,เป็นอันตราย
dare ,กล้า
dark  ,มืด
data ,ข้อมูล
date  ,วันที่
daughter ,ลูกสาว
day ,วัน
dead ,ตาย
deaf ,หูหนวก
deal  ,จัดการ
deal with,จัดการกับ
death ,ความตาย
debate  ,อภิปราย
debt ,หนี้สิน
decade ,ทศวรรษ
decay  ,ผุ
December ,ธันวาคม
decide ,ตัดสิน
decision ,การตัดสิน
declare ,ประกาศ
decline  ,ลดลง
decorate ,ตกแต่ง
decoration ,เครื่องประดับ
decorative ,ตกแต่ง
decrease  ,ลดลง
deep  ,ลึก
deeply ,ลึก
defeat  ,ความพ่ายแพ้
defence,ป้องกัน
defend ,ป้องกัน
define ,กำหนด
definite ,ชัดเจน
definitely ,อย่างแน่นอน
definition ,คำนิยาม
degree ,ระดับ
delay  ,ความล่าช้า
deliberate ,พิจารณา
deliberately ,จงใจ
delicate ,ละเอียดอ่อน
delight  ,สุข
delighted ,ยินดี
deliver ,ส่งมอบ
delivery ,การจัดส่ง
demand  ,ความต้องการ
demonstrate ,สาธิต
dentist ,ทันตแพทย์
deny ,ปฏิเสธ
department ,สาขา
departure ,การออกเดินทาง
depend ,ขึ้นอยู่กับ
deposit  ,เงินฝาก
depress ,กด
depressing ,ตกต่ำ
depressed ,หดหู่
depth ,ความลึก
derive ,การสืบทอดมา
describe ,อธิบาย
description ,ลักษณะ
desert  ,ทะเลทราย
deserted ,วิเวกวังเวง
deserve ,สมน้ำสมเนื้อ
design  ,ออกแบบ
desire  ,ความต้องการ
desk ,เคาน์เตอร์
desperate ,หมดหวัง
desperately ,หมดท่า
despite ,แม้จะมี
destroy ,ทำลาย
destruction ,การทำลาย
detail ,รายละเอียด
in detail,ในรายละเอียด
detailed ,รายละเอียด
determination ,การกำหนด
determine ,กำหนด
determined ,มุ่งมั่น
develop ,พัฒนา
development ,พัฒนาการ
device ,เครื่อง
devote ,อุทิศ
devoted ,อุทิศ
